City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,flin flon,54.7682,-101.865,-11.01,94,15,1.8,CA,1700195224
1,acarau,-2.8856,-40.12,26.43,80,73,6.89,BR,1700195224
2,shimoda,34.6667,138.95,19.2,82,100,10.34,JP,1700195225
3,margaret river,-33.95,115.0667,23.36,41,0,3.52,AU,1700195225
4,buka,40.8108,69.1986,15.49,17,100,1.13,UZ,1700195225
5,edinburgh of the seven seas,-37.0676,-12.3116,13.91,69,100,7.05,SH,1700195225
6,port-aux-francais,-49.35,70.2167,4.74,91,100,11.54,TF,1700195225
7,port mathurin,-19.6833,63.4167,25.2,78,93,7.25,MU,1700195226
8,ushuaia,-54.8,-68.3,5.81,87,40,2.06,AR,1700195020
9,isafjordur,66.0755,-23.124,1.95,76,100,0.8,IS,1700195226
10,khandyga,62.6667,135.6,-16.15,89,92,2.41,RU,1700195226
11,ust-nera,64.5667,143.2,-24.39,96,100,2.99,RU,1700195226
12,margate,51.3813,1.3862,5.73,91,98,4.99,GB,1700195226
13,remire-montjoly,4.9167,-52.2667,27.02,89,40,2.06,GF,1700195227
14,egilsstadir,65.2653,-14.3948,-5.05,100,100,1.03,IS,1700195227
15,chibougamau,49.9168,-74.3659,1.79,64,20,5.66,CA,1700195227
16,papatowai,-46.5619,169.4708,9.51,81,85,5.29,NZ,1700195227
17,zhaozhou,45.6833,125.3167,-6.8,83,31,2.62,CN,1700195227
18,kruisfontein,-34.0033,24.7314,17.88,69,74,2.53,ZA,1700195228
19,kavaratti,10.5669,72.642,28.49,74,100,3.16,IN,1700195228
20,haiku-pauwela,20.9219,-156.3051,23.36,87,100,3.6,US,1700195228
21,tazacorte,28.629,-17.9293,25.08,29,0,3.09,ES,1700195228
22,puerto san jose,13.9256,-90.8244,25.92,85,19,2.31,GT,1700195228
23,linxia chengguanzhen,35.6003,103.2064,7.6,16,0,1.03,CN,1700195229
24,longyearbyen,78.2186,15.6401,-12.09,72,75,5.14,SJ,1700195229
25,kailua-kona,19.6406,-155.9956,24.17,89,96,0.89,US,1700194938
26,prince rupert,54.3161,-130.3201,8.83,95,100,15.95,CA,1700195227
27,carnarvon,-24.8667,113.6333,28.06,57,0,4.61,AU,1700195229
28,happy valley-goose bay,53.3168,-60.3315,-0.83,80,75,5.14,CA,1700195229
29,ambon,-3.6954,128.1814,32.08,70,40,4.12,ID,1700195230
30,yuzhno-kurilsk,44.0306,145.8556,9.65,73,100,11.69,RU,1700195230
31,hithadhoo,-0.6,73.0833,28.04,78,41,7.09,MV,1700195231
32,invercargill,-46.4,168.35,11.68,69,56,6.26,NZ,1700195025
33,adamstown,-25.066,-130.1015,22.53,83,100,2.72,PN,1700195231
34,indramayu,-6.3264,108.32,30.55,61,97,2.31,ID,1700195232
35,puerto natales,-51.7236,-72.4875,2.5,93,48,1.61,CL,1700195140
36,waitangi,-43.9535,-176.5597,15.46,90,100,4.02,NZ,1700195233
37,fort bragg,35.139,-79.006,15.82,81,0,1.54,US,1700195233
38,wailua homesteads,22.0669,-159.378,26.24,75,40,7.2,US,1700195233
39,georgetown,5.4112,100.3354,31.64,72,20,2.06,MY,1700194979
40,bethel,41.3712,-73.414,10.91,78,9,1.13,US,1700195233
41,buwenge,0.6422,33.1744,18.13,97,75,0.62,UG,1700195233
42,alliance,40.9153,-81.1059,15.78,51,57,5.01,US,1700195234
43,mount gambier,-37.8333,140.7667,18.3,44,26,4.31,AU,1700195234
44,grytviken,-54.2811,-36.5092,-0.02,85,100,4.35,GS,1700195234
45,college,64.8569,-147.8028,-2.83,87,75,0.0,US,1700195234
46,punta cana,18.5818,-68.4043,27.87,74,75,4.12,DO,1700194963
47,lihue,21.9789,-159.3672,26.58,68,40,7.2,US,1700195235
48,puerto ayora,-0.7393,-90.3518,23.08,100,88,1.79,EC,1700195235
49,nuuk,64.1835,-51.7216,-2.66,86,84,0.0,GL,1700195235
50,pisco,-13.7,-76.2167,20.01,82,99,6.69,PE,1700195235
51,bhamo,24.2667,97.2333,19.67,100,100,0.91,MM,1700195236
52,utrik,11.2278,169.8474,28.25,78,12,6.44,MH,1700195236
53,muroto-misakicho,33.2833,134.15,16.52,51,6,8.93,JP,1700195236
54,yellowknife,62.456,-114.3525,-3.71,99,100,5.81,CA,1700195041
55,caras,-9.0467,-77.8114,16.76,88,100,0.13,PE,1700195236
56,bilibino,68.0546,166.4372,-21.0,100,100,0.32,RU,1700195237
57,midvagur,62.0511,-7.1939,3.46,81,69,0.0,FO,1700195237
58,port augusta,-32.5,137.7667,27.73,19,0,6.74,AU,1700195238
59,tralee,52.2704,-9.7026,8.48,83,78,4.03,IE,1700195238
60,shizuishan,39.2333,106.7694,5.68,17,0,0.81,CN,1700195238
61,papao,-17.75,-149.55,27.82,81,79,11.6,PF,1700195239
62,west island,-12.1568,96.8225,28.99,61,40,3.6,CC,1700195239
63,santana,-0.0583,-51.1817,28.1,78,0,3.6,BR,1700195239
64,huanta,-12.9333,-74.25,15.59,70,60,1.47,PE,1700195239
65,ilulissat,69.2167,-51.1,-6.99,68,21,0.0,GL,1700195239
66,gracemere,-23.4333,150.45,35.95,28,23,5.14,AU,1700195240
67,taoudenni,22.6783,-3.9836,22.94,20,95,4.61,ML,1700195240
68,al hazm,16.1641,44.7769,23.76,45,77,0.98,YE,1700195240
69,bredasdorp,-34.5322,20.0403,17.5,78,100,2.36,ZA,1700195240
70,zhu cheng city,35.995,119.4026,6.95,23,0,8.85,CN,1700195240
71,port elizabeth,-33.918,25.5701,19.62,83,0,3.09,ZA,1700195241
72,hobyo,5.3505,48.5268,28.19,75,43,2.64,SO,1700195241
73,kingston,17.997,-76.7936,24.53,99,100,4.12,JM,1700195223
74,acaponeta,22.4964,-105.3594,24.3,88,0,0.93,MX,1700195241
75,villa tupac amaru,-13.7,-76.15,19.57,82,99,6.69,PE,1700195241
76,saint joseph,39.7686,-94.8466,14.78,77,100,3.6,US,1700194972
77,nelson bay,-32.7167,152.15,20.62,65,49,5.36,AU,1700195242
78,lebu,-37.6167,-73.65,12.54,96,100,7.46,CL,1700195242
79,nova vicosa,-17.8919,-39.3719,24.51,88,18,6.57,BR,1700195242
80,tura,25.5198,90.2201,22.34,80,99,0.75,IN,1700195242
81,klyuchi,52.2667,79.1667,5.12,88,100,0.75,RU,1700195242
82,lompoc,34.6391,-120.4579,17.66,86,0,4.92,US,1700195242
83,kayangel,8.0823,134.7173,29.24,78,100,3.43,PW,1700195242
84,ribeira grande,38.5167,-28.7,20.99,92,100,8.49,PT,1700195243
85,bintulu,3.1667,113.0333,32.23,66,20,1.54,MY,1700195243
86,san pedro pochutla,15.7333,-96.4667,24.56,87,4,1.08,MX,1700195243
87,kirensk,57.7853,108.1119,-2.24,71,100,6.71,RU,1700195243
88,ursulo galvan,22.7333,-98.3,22.41,82,6,2.0,MX,1700195243
89,talnakh,69.4865,88.3972,-19.85,99,92,3.75,RU,1700195244
90,kenai,60.5544,-151.2583,1.16,67,40,8.23,US,1700195244
91,tiksi,71.6872,128.8694,-27.04,100,98,2.31,RU,1700195244
92,leua,48.2156,18.6071,10.28,88,100,2.71,SK,1700195244
93,hondo,32.45,130.2,13.91,65,99,10.45,JP,1700195244
94,manismata,-2.4667,111.0333,29.44,78,93,1.93,ID,1700195244
95,port lincoln,-34.7333,135.8667,17.85,58,7,6.31,AU,1700195245
96,ponot,8.452,123.0222,28.47,75,81,4.41,PH,1700195245
97,'ali sabieh,11.1558,42.7125,22.47,89,100,5.13,DJ,1700195245
98,jalapa,19.5333,-96.9167,14.1,90,68,0.61,MX,1700195245
99,mwinilunga,-11.7358,24.4293,16.83,94,100,1.15,ZM,1700195245
100,anadyr,64.75,177.4833,-16.72,84,20,2.0,RU,1700195245
101,dudinka,69.4058,86.1778,-19.21,97,96,6.0,RU,1700195245
102,baardheere,2.3446,42.2764,26.11,82,88,3.27,SO,1700195246
103,barcelos,41.5388,-8.6151,16.06,93,99,1.0,PT,1700195246
104,keflavik,64.0049,-22.5624,5.95,87,0,3.6,IS,1700195246
105,gorom-gorom,14.4439,-0.2361,25.43,18,1,5.26,BF,1700195246
106,kodiak,57.79,-152.4072,-1.27,40,0,5.14,US,1700195246
107,dryden,49.7833,-92.7503,-3.84,80,100,5.66,CA,1700195246
108,albany,42.6001,-73.9662,8.25,83,68,1.46,US,1700194950
109,hartsville,34.374,-80.0734,17.16,82,100,2.57,US,1700195247
110,badger,64.8,-147.5333,-2.88,91,75,0.0,US,1700195247
111,darwin,-12.4611,130.8418,32.75,66,75,3.6,AU,1700195125
112,la mira,18.035,-102.3266,26.1,88,13,1.7,MX,1700195247
113,thompson,55.7435,-97.8558,-9.91,85,100,2.06,CA,1700195247
114,aasiaat,68.7098,-52.8699,-13.91,98,91,3.35,GL,1700195247
115,alice springs,-23.7,133.8833,22.75,78,100,3.09,AU,1700195248
116,dzhangala,49.2167,50.3333,6.08,78,100,3.13,KZ,1700195248
117,ryotsu-minato,38.0833,138.4333,13.52,89,100,3.61,JP,1700195248
118,pangkalanbuun,-2.6833,111.6167,28.41,85,99,1.79,ID,1700195248
119,al jawf,29.5,38.75,16.31,61,0,3.77,SA,1700195248
120,blackmans bay,-43.0167,147.3167,21.07,48,14,0.98,AU,1700195249
121,ibadan,7.3878,3.8964,22.26,87,70,0.24,NG,1700195249
122,muana,-1.5283,-49.2167,26.22,74,35,2.14,BR,1700195249
123,sake,-1.5736,29.045,16.75,95,100,0.64,CD,1700195249
124,qaqortoq,60.7167,-46.0333,-7.98,74,16,3.64,GL,1700195249
125,fuglafjordur,62.244,-6.814,3.26,61,73,3.67,FO,1700195249
126,stanley,54.868,-1.6985,4.6,95,40,1.03,GB,1700195129
127,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,72,40,7.6,RU,1700195250
128,hammerfest,70.6634,23.6821,-0.75,69,75,13.89,NO,1700195250
129,lazaro cardenas,17.9583,-102.2,26.85,84,8,1.62,MX,1700195250
130,ancud,-41.8697,-73.8203,8.61,84,77,9.16,CL,1700195250
131,atafu village,-8.5421,-172.5159,29.76,71,64,3.06,TK,1700195251
132,newman,37.3138,-121.0208,15.16,91,95,1.34,US,1700195218
133,nogliki,51.8333,143.1667,-0.37,76,98,2.68,RU,1700195252
134,hermanus,-34.4187,19.2345,17.41,89,100,4.14,ZA,1700195252
135,fray luis beltran,-39.3167,-65.7667,17.97,34,100,15.79,AR,1700195252
136,mount pearl,47.5166,-52.7813,-0.48,86,100,2.06,CA,1700195252
137,iskateley,67.6803,53.1512,-16.66,99,67,2.24,RU,1700195252
138,labrador city,52.9463,-66.9114,-8.05,93,0,3.6,CA,1700195253
139,angaur state,6.906,134.13,28.53,80,98,5.88,PW,1700195253
140,kachia,9.8667,7.95,21.73,38,75,3.72,NG,1700195253
141,east ballina,-28.8667,153.5833,19.89,85,98,12.79,AU,1700195253
142,andergrove,-21.0833,149.1833,33.69,70,4,9.49,AU,1700195254
143,helston,50.1032,-5.2705,10.29,87,20,2.57,GB,1700195255
144,al ain city,24.1917,55.7606,18.79,88,40,9.77,AE,1700195255
145,kangding,30.0513,101.9603,11.56,45,100,1.83,CN,1700195255
146,martin,27.0837,-80.4164,23.96,100,95,2.02,US,1700195232
147,huancabamba,-5.2386,-79.4506,16.11,92,83,1.5,PE,1700195255
148,wladyslawowo,54.7909,18.4009,3.3,92,100,6.46,PL,1700195256
149,prince george,53.9166,-122.753,1.69,82,100,9.77,CA,1700195256
150,st. john's,47.5649,-52.7093,-0.02,86,100,2.06,CA,1700195256
151,uliastay,47.7417,96.8444,-2.89,66,0,2.16,MN,1700195256
152,gubbio,43.3545,12.5725,12.39,64,66,0.89,IT,1700195256
153,jamestown,42.097,-79.2353,14.77,43,0,4.12,US,1700195041
154,whitehorse,60.7161,-135.0538,-0.57,69,0,7.72,CA,1700195106
155,chernogorsk,53.8236,91.2842,2.76,70,0,5.0,RU,1700195257
156,kodinsk,58.6881,99.1844,0.8,97,100,3.99,RU,1700195257
157,coruripe,-10.1256,-36.1756,25.47,79,9,6.95,BR,1700195257
158,ixtapa,20.7,-105.2,26.57,89,0,1.03,MX,1700195112
159,nikolayevsk-on-amure,53.1406,140.73,-1.36,68,100,0.74,RU,1700195257
160,lospalos,-8.5186,127.0025,32.63,40,14,2.92,TL,1700195258
161,kasson,44.03,-92.7507,5.97,59,0,7.72,US,1700195258
162,olonkinbyen,70.9221,-8.7187,-1.58,84,100,2.69,SJ,1700195258
163,crane,31.3974,-102.3501,17.92,66,100,3.02,US,1700195258
164,queenstown,-31.8976,26.8753,18.48,61,99,1.86,ZA,1700195258
165,akrehamn,59.2667,5.1833,3.01,69,20,3.6,NO,1700195258
166,kotlas,61.2611,46.6556,-8.3,93,87,2.68,RU,1700195258
167,forecariah,9.4306,-13.0881,23.62,87,0,1.01,GN,1700195259
168,vorgashor,67.5833,63.95,-17.76,99,100,3.11,RU,1700195259
169,colonia menno,-22.3667,-59.8167,28.5,71,79,4.95,PY,1700195259
170,souillac,-20.5167,57.5167,25.21,88,75,1.03,MU,1700195259
171,new norfolk,-42.7826,147.0587,21.72,48,23,3.91,AU,1700195260
172,opuwo,-18.0607,13.84,20.8,81,26,1.68,NA,1700195260
173,zaozersk,69.4005,32.4476,-8.01,86,95,5.76,RU,1700195260
174,tangalle,6.024,80.7911,30.09,72,60,2.27,LK,1700195260
175,minas de marcona,-15.2119,-75.1103,14.37,89,100,6.95,PE,1700195260
176,port saint john's,-31.6229,29.5448,20.68,83,100,0.84,ZA,1700195261
177,bondo,3.8146,23.6866,20.94,100,100,0.53,CD,1700195261
178,yinchuan,38.4681,106.2731,6.23,15,0,1.86,CN,1700195261
179,amungan,15.3652,119.9582,29.48,65,25,2.75,PH,1700195261
180,enewetak,11.3474,162.3373,28.34,83,22,9.69,MH,1700195261
181,santa marinella,42.0345,11.8536,17.95,92,72,6.91,IT,1700195262
182,ponta delgada,37.7333,-25.6667,21.77,88,75,6.17,PT,1700195262
183,swakopmund,-22.6833,14.5333,16.1,90,0,0.97,NA,1700195262
184,krasnokamensk,50.0979,118.0369,-6.57,68,6,1.75,RU,1700195262
185,bandundu,-3.3167,17.3667,22.05,99,100,1.15,CD,1700195262
186,kone,-21.0595,164.8658,28.63,52,20,2.32,NC,1700195262
187,prince albert,53.2001,-105.7677,0.97,64,75,7.2,CA,1700195262
188,kopong,-24.4833,25.8833,19.13,88,75,3.09,BW,1700195263
189,tromso,69.6496,18.957,1.01,64,75,5.14,NO,1700195263
190,kerikeri,-35.2268,173.9474,23.84,72,82,0.45,NZ,1700195263
191,farafangana,-22.8167,47.8333,22.1,85,96,2.7,MG,1700195263
192,khawr fakkan,25.3313,56.342,21.03,82,95,2.06,AE,1700195263
193,teknaf,20.8624,92.3058,23.81,88,100,8.1,BD,1700195263
194,morshansk,53.4435,41.8107,0.54,98,100,0.97,RU,1700195264
195,bamboo flat,11.7,92.7167,31.05,74,40,4.12,IN,1700195264
196,karaton,-6.3424,106.1045,33.47,51,100,0.58,ID,1700195264
197,kimbe,-5.5502,150.1429,31.63,53,22,1.69,PG,1700195264
198,manokwari,-0.8667,134.0833,29.1,74,15,3.28,ID,1700195264
199,sanchor,24.7553,71.7722,25.0,26,3,1.2,IN,1700195264
200,malpica,43.3228,-8.8105,9.99,74,80,1.91,ES,1700195264
201,nadi,-17.8,177.4167,29.0,70,20,5.66,FJ,1700194993
202,san patricio,28.017,-97.5169,18.24,87,92,2.75,US,1700195265
203,avarua,-21.2078,-159.775,23.03,68,100,6.69,CK,1700195265
204,dame-marie,18.5667,-74.4167,25.31,80,100,1.11,HT,1700195265
205,saipan,15.1355,145.701,31.39,66,20,8.23,MP,1700195265
206,maues,-3.3836,-57.7186,29.06,44,46,1.45,BR,1700195265
207,hawaiian paradise park,19.5933,-154.9731,21.73,95,100,1.54,US,1700195265
208,mossel bay,-34.1831,22.146,22.96,71,80,1.49,ZA,1700195266
209,mandapam,9.2833,79.1167,27.72,79,100,5.59,IN,1700195266
210,tchintabaraden,15.8969,5.7985,22.0,25,0,4.33,NE,1700195266
211,odesskoye,54.2111,72.9651,1.63,89,46,2.62,RU,1700195266
212,port alfred,-33.5906,26.891,18.43,95,66,0.76,ZA,1700195266
213,rongelap,11.1635,166.8941,28.13,81,22,7.83,MH,1700195266
214,guerrero negro,27.9769,-114.0611,20.37,92,94,4.04,MX,1700195266
215,horta,38.5333,-28.6333,20.57,92,100,8.49,PT,1700195267
216,sola,-13.8833,167.55,26.35,80,42,6.57,VU,1700195267
217,eraan,9.0629,117.7016,30.76,64,99,3.93,PH,1700195267
218,dwarka,22.2394,68.9678,27.21,46,4,5.98,IN,1700195267
219,nagqu,31.5,92.0,-2.92,48,68,2.62,CN,1700195267
220,xiaoweizhai,26.1903,107.5125,16.34,40,34,2.62,CN,1700195267
221,colares,38.7992,-9.4469,18.2,94,94,5.81,PT,1700195267
222,okha,53.5739,142.9478,-0.04,86,99,2.42,RU,1700195268
223,chaman,30.9236,66.4512,17.11,23,100,1.6,PK,1700195268
224,fortuna,40.5982,-124.1573,11.86,94,0,3.09,US,1700195268
225,zaruma,-3.6833,-79.6167,17.0,91,81,0.69,EC,1700195268
226,santiago de cao,-7.9589,-79.2392,18.07,94,100,4.63,PE,1700195268
227,khash,28.2211,61.2158,14.75,64,78,1.66,IR,1700195268
228,daru,-9.0763,143.2092,28.99,63,7,4.99,PG,1700195269
229,kotabumi,-4.8333,104.9,33.88,52,68,0.88,ID,1700195269
230,orapa,-21.2833,25.3667,23.57,34,91,2.88,BW,1700195269
231,giridih,24.1833,86.3,25.17,60,6,3.85,IN,1700195269
232,nazca,-14.8333,-74.95,21.31,66,100,2.3,PE,1700195269
233,nar'yan-mar,67.6713,53.087,-16.61,99,66,2.24,RU,1700195269
234,golfito,8.639,-83.166,24.21,97,100,0.79,CR,1700195269
235,geraldton,-28.7667,114.6,33.23,16,0,8.75,AU,1700195066
236,udachny,66.4167,112.4,-10.86,85,98,2.67,RU,1700195062
237,cobija,-11.0267,-68.7692,27.58,58,47,1.15,BO,1700195270
238,carinhanha,-14.3047,-43.765,26.52,49,6,2.18,BR,1700195270
239,chonchi,-42.6128,-73.8092,7.56,93,82,3.97,CL,1700195270
240,erattupetta,9.7,76.7833,29.07,78,54,0.4,IN,1700195270
241,kuqa,41.7278,82.9364,6.4,33,8,1.65,CN,1700195270
242,tabuan,9.5156,122.8506,30.47,64,87,4.12,PH,1700195270
243,ketchikan,55.3422,-131.6461,9.99,100,100,4.63,US,1700195271
244,suva,-18.1416,178.4415,27.71,78,75,3.6,FJ,1700195271
245,port-gentil,-0.7193,8.7815,26.11,85,97,4.42,GA,1700195271
246,dimona,31.0667,35.0333,14.56,89,0,1.02,IL,1700195271
247,sabang,5.8933,95.3214,27.38,79,100,2.55,ID,1700195271
248,kapuskasing,49.4169,-82.4331,9.0,87,100,6.17,CA,1700195271
249,jinxiang,27.4327,120.6062,15.65,41,17,2.43,CN,1700195271
250,tamanrasset,22.785,5.5228,13.95,41,0,0.0,DZ,1700195271
251,charef,34.621,2.795,10.59,43,59,0.84,DZ,1700195271
252,kidal,18.4411,1.4078,21.48,22,0,4.85,ML,1700195178
253,turpan,42.9333,89.1667,8.6,34,2,0.45,CN,1700195272
254,hechuan,29.9947,106.2572,18.27,39,100,1.25,CN,1700195225
255,rabo de peixe,37.8,-25.5833,21.1,99,75,6.17,PT,1700195272
256,jerantut,3.936,102.3626,31.1,62,83,1.21,MY,1700195272
257,punta arenas,-53.15,-70.9167,4.06,81,40,3.6,CL,1700195272
258,iqaluit,63.7506,-68.5145,-1.15,86,75,8.23,CA,1700195272
259,zarghun shahr,32.8473,68.4457,9.95,24,99,0.77,AF,1700195272
260,sisimiut,66.9395,-53.6735,-5.8,79,92,5.01,GL,1700195274
261,chernyshevskiy,63.0128,112.4714,-2.78,87,100,4.63,RU,1700195274
262,trenton,40.217,-74.7429,11.5,70,0,0.0,US,1700195012
263,la passe,45.5549,-0.8967,9.13,81,99,3.59,FR,1700195274
264,kadiri,14.1167,78.1667,26.23,62,98,2.72,IN,1700195274
265,orsa,54.5153,30.4053,-3.6,81,37,3.13,BY,1700195274
266,vernon,50.2581,-119.2691,1.74,82,57,2.57,CA,1700195017
267,burabay,53.0838,70.3138,1.14,88,79,1.92,KZ,1700195275
268,chiavenna,46.3216,9.3986,10.94,70,7,4.26,IT,1700195275
269,howard springs,-12.497,131.047,32.71,68,33,5.13,AU,1700195275
270,damaturu,11.747,11.9608,22.22,34,38,3.63,NG,1700195275
271,constantia,44.1833,28.65,4.38,62,100,2.82,RO,1700195275
272,chake chake,-5.2459,39.7666,25.26,91,100,3.14,TZ,1700195275
273,kourou,5.1552,-52.6478,27.03,92,100,3.29,GF,1700195276
274,laguna,38.421,-121.4238,16.71,78,20,1.54,US,1700195276
275,freetown,8.484,-13.2299,26.06,86,2,1.23,SL,1700195276
276,fale old settlement,-9.3852,-171.2468,29.87,68,86,1.7,TK,1700195276
277,xai-xai,-25.0519,33.6442,20.11,71,94,4.44,MZ,1700195276
278,hamilton,39.1834,-84.5333,16.05,64,100,3.09,US,1700195276
279,tome acu,-2.4189,-48.1522,25.03,76,24,1.11,BR,1700195276
